task_id,goal,system_type,planner_task,planner_checklist,executor_output,system_reported_success,verifier_reasoning,ground_truth_success
1,What is the boiling point of water at sea level in Celsius?,Verifier_System,Research and verify the boiling point of water at sea level in Celsius,"[""Search for reliable sources of information on the internet."", ""Compare multiple sources to ensure accuracy."", ""Verify the results with scientific literature or authoritative texts.""]","The elevation E, in meters, above sea level at which the boiling point of water is t degrees Celsius is given by the function E(t) = 1000(100 - t ...",FALSE,"The given statement is not a verifiable fact. It is a function that describes the relationship between temperature and boiling point of water, which is true for certain conditions but does not apply universally.",FALSE
1,What is the boiling point of water at sea level in Celsius?,No_Verifier_Baseline,Verify the boiling point of water at sea level in Celsius.,"[{""fact"": ""The boiling point of water is 100 degrees Celsius at sea level."", ""verification_method"": ""Search online for information about the boiling point of water.""}, {""fact"": ""The boiling point of water may vary depending on altitude and atmospheric pressure."", ""verification_method"": ""Compare the information gathered from multiple sources, such as scientific journals or educational websites.""}]","1 month ago - The IUPAC-recommended standard boiling point of water at a standard pressure of 100 kPa (1 bar) is 99.61 °C (211.3 °F). For comparison, on top of Mount Everest, at 8,848 m (29,029 ft) elevation, the pressure is about 34 kPa (255 Torr) and the boiling point of water is 71 °C (160 °F). The ...",TRUE,No verifier present. Assumed success.,FALSE
1,What is the boiling point of water at sea level in Celsius?,Self_Verifier_Baseline,Verify the boiling point of water at sea level in Celsius,"[""Look up the boiling point of water at sea level in Celsius from a reliable source."", ""Make sure to use the standard unit of measurement (Celsius) for temperature."", ""Compare the result with other sources if possible. ""]","Learn about the boiling point of water . See what temperature water boils at in Celsius , Fahrenheit, and Kelvin.",TRUE,The output successfully completed the original task by providing useful information about boiling points of water in different units.,FALSE
2,Who is the current CEO of Microsoft?,Verifier_System,Find out who the current CEO of Microsoft is,"[{""check"": ""Search for the name of Microsoft's current CEO on a reliable source like Wikipedia or Forbes"", ""description"": ""The result should be an accurate list of the company's current CEO""}, {""check"": ""Check Microsoft's website for information about their CEO"", ""description"": ""The result should be the name of the current CEO listed on Microsoft's official page""}, {""check"": ""Verify the information by searching for news articles or press releases featuring interviews with the CEO"", ""description"": ""The result should confirm that the reported CEO matches the one obtained from the previous two checks.""}]","Satya Narayana Nadella is an Indian-born American business executive who is the chairman and chief executive officer (CEO) of Microsoft, succeeding Steve ...",FALSE,"One of the verification checks failed. For example, when searching for 'Microsoft' on a reliable source like Wikipedia or Forbes, it was not found.",TRUE
2,Who is the current CEO of Microsoft?,No_Verifier_Baseline,Verify who is currently serving as the CEO of Microsoft,"[{""name"": ""Go to Microsoft's official website"", ""description"": ""Check for any news or updates on the current CEO""}, {""name"": ""Check LinkedIn profile of Microsoft executives"", ""description"": ""Look for any statements made by the CEO in recent years""}, {""name"": ""Search news articles on Google News related to Microsoft's leadership"", ""description"": ""See if any article mentions who the current CEO is""}]","... the co-founder of Microsoft ... The current CEO of Microsoft is Satya Nadella, who has held the position since 2014, succeeding Steve Ballmer.",TRUE,No verifier present. Assumed success.,TRUE
2,Who is the current CEO of Microsoft?,Self_Verifier_Baseline,Verify the current CEO of Microsoft,"[""Checking news websites for announcements about the company's leadership"", ""Searching Microsoft's official website for information on the CEO"", ""Checking internal communication channels within Microsoft to see if there have been any updates or press releases regarding the CEO's name and position""]","Since Satya Nadella took over as CEO in 2014, the company has changed focus towards cloud computing, as well as its large acquisition of LinkedIn for $26.2 ...",FALSE,"I am an AI language model and my output is generated by analyzing a large dataset of text. As such, I do not have the ability to verify or complete tasks in the real world like humans do. However, based on the information provided about Satya Nadella becoming CEO in 2014 and Microsoft's shift towards cloud computing and acquisition of LinkedIn, it seems possible that my output was successful in partially completing the task.",FALSE
3,What year did the first moon landing occur?,Verifier_System,Verify when the first moon landing occurred,"[{""name"": ""Search for information about the first moon landing on reliable sources of historical data"", ""score"": 1, ""result"": ""The first moon landing occurred in 1969.""}, {""name"": ""Compare the information gathered with a list of significant events that happened in 1969"", ""score"": 1, ""result"": ""The first moon landing is listed as one of the significant events of 1969.""}]",Verify 是指 去展示，或声明某事是 真实的，准确的，“证明；证实”，如： 3. I can verify that it takes about thirty seconds. 我能证明，这大约要用30秒的时间。 4. Her version of events was …,FALSE,"Error in verification: Expecting ',' delimiter: line 19 column 1 (char 109)",FALSE
3,What year did the first moon landing occur?,No_Verifier_Baseline,Verify when the first moon landing occurred,"[{""fact"": ""In 1969, Neil Armstrong became the first person to walk on the moon.""}, {""fact"": ""On July 20th, 1969, the Apollo 11 mission landed astronauts Buzz Aldrin and Michael Collins on the moon's surface.""}, {""fact"": ""The first successful landing on the moon was performed by NASA's Apollo 11 spacecraft in 1969.""}]","Of course, six hours after landing , Neil Armstrong would be the first man to set foot on the moon , uttering the immortal words, “ That ...",TRUE,No verifier present. Assumed success.,FALSE
3,What year did the first moon landing occur?,Self_Verifier_Baseline,Verify the year of the first moon landing,"[{""condition"": ""Is there any reliable source or record available?"", ""verification_method"": ""Research and cross-reference sources from reputable sources such as NASA's official website, historical archives, and credible news articles.""}, {""condition"": ""Can the year be confirmed by multiple sources?"", ""verification_method"": ""Cross-check the verified date with other reliable sources and compare the results.""}]","Apollo 11 was the first spaceflight to land humans on the Moon , conducted by NASA from July 16 to 24, 1969. Commander Neil Armstrong and Lunar Module Pilot ...",TRUE,The output successfully completed the original task. It provided a detailed description of the first moon landing by NASA in 1969 with accurate dates and names of the astronauts involved.,TRUE
4,Find the main ingredient in a traditional Japanese Miso soup.,Verifier_System,Verify that the main ingredient in a traditional Japanese Miso soup is soy sauce.,"[""Check if the first ingredient listed on the soup label is soy sauce.""]","Find out in this post what miso soup is , what it ’ s made from, and what the main ingredients in this soup are made from.",FALSE,,FALSE
